"created_date","complaint_type","borough","agency_name","status"
"2026-05-03T16:11:26.000","Illegal Parking","QUEENS","New York City Police Department","Closed"
"2026-05-03T16:11:08.000","Rodent","BROOKLYN","Department of Health and Mental Hygiene","In Progress"
"2026-05-03T16:11:00.000","Noise","MANHATTAN","Department of Environmental Protection","Open"
"2026-05-03T16:10:45.000","Noise - Street/Sidewalk","STATEN ISLAND","New York City Police Department","Closed"
"2026-05-03T16:10:41.000","ELECTRIC","MANHATTAN","Department of Housing Preservation and Development","Open"
"2026-05-03T16:10:15.000","Noise - Residential","MANHATTAN","New York City Police Department","Closed"
"2026-05-03T16:10:15.000","Noise - Residential","MANHATTAN","New York City Police Department","Closed"
"2026-05-03T16:10:11.000","UNSANITARY CONDITION","BROOKLYN","Department of Housing Preservation and Development","Open"
"2026-05-03T16:10:11.000","APPLIANCE","BROOKLYN","Department of Housing Preservation and Development","Open"
"2026-05-03T16:10:11.000","UNSANITARY CONDITION","BROOKLYN","Department of Housing Preservation and Development","Open"
"2026-05-03T16:10:11.000","FLOORING/STAIRS","BROOKLYN","Department of Housing Preservation and Development","Open"
"2026-05-03T16:10:11.000","DOOR/WINDOW","BROOKLYN","Department of Housing Preservation and Development","Open"
"2026-05-03T16:10:11.000","DOOR/WINDOW","BROOKLYN","Department of Housing Preservation and Development","Open"
"2026-05-03T16:10:07.000","HEAT/HOT WATER","BROOKLYN","Department of Housing Preservation and Development","Closed"
"2026-05-03T16:09:59.000","Noise - Commercial","QUEENS","New York City Police Department","Closed"
"2026-05-03T16:09:54.000","Building/Use","BROOKLYN","Department of Buildings","Open"
"2026-05-03T16:09:50.000","Noise - Street/Sidewalk","BROOKLYN","New York City Police Department","Closed"
"2026-05-03T16:09:46.000","Abandoned Vehicle","QUEENS","New York City Police Department","Closed"
"2026-05-03T16:09:34.000","Missed Collection","BROOKLYN","Department of Sanitation","In Progress"
"2026-05-03T16:09:06.000","Noise - Street/Sidewalk","MANHATTAN","New York City Police Department","Closed"
"2026-05-03T16:08:38.000","Commercial Disposal Complaint","QUEENS","Department of Sanitation","Closed"
"2026-05-03T16:08:24.000","Illegal Parking","QUEENS","New York City Police Department","Closed"
"2026-05-03T16:08:01.000","Illegal Parking","BRONX","New York City Police Department","Closed"
"2026-05-03T16:07:56.000","Noise - Street/Sidewalk","MANHATTAN","New York City Police Department","Closed"
"2026-05-03T16:07:43.000","Blocked Driveway","QUEENS","New York City Police Department","Closed"
"2026-05-03T16:07:31.000","Illegal Parking","BRONX","New York City Police Department","Closed"
"2026-05-03T16:07:20.000","Illegal Parking","QUEENS","New York City Police Department","Closed"
"2026-05-03T16:07:13.000","GENERAL","BROOKLYN","Department of Housing Preservation and Development","Open"
"2026-05-03T16:07:11.000","Illegal Parking","QUEENS","New York City Police Department","Closed"
"2026-05-03T16:07:04.000","PLUMBING","MANHATTAN","Department of Housing Preservation and Development","Open"
"2026-05-03T16:07:04.000","HEAT/HOT WATER","MANHATTAN","Department of Housing Preservation and Development","Closed"
"2026-05-03T16:07:04.000","Noise - Vehicle","MANHATTAN","New York City Police Department","Closed"
"2026-05-03T16:07:00.000","Hazardous Materials","QUEENS","Department of Environmental Protection","Open"
"2026-05-03T16:07:00.000","Street Light Condition","BRONX","Department of Transportation","Open"
"2026-05-03T16:06:56.000","Illegal Parking","MANHATTAN","New York City Police Department","Closed"
"2026-05-03T16:06:48.000","Elevator","BRONX","Department of Buildings","Open"
"2026-05-03T16:06:39.000","Noise - Commercial","MANHATTAN","New York City Police Department","Closed"
"2026-05-03T16:06:38.000","Illegal Parking","QUEENS","New York City Police Department","Closed"
"2026-05-03T16:06:34.000","Food Establishment","BROOKLYN","Department of Health and Mental Hygiene","In Progress"
"2026-05-03T16:06:05.000","Noise - Residential","BRONX","New York City Police Department","Closed"
"2026-05-03T16:05:49.000","Blocked Driveway","BROOKLYN","New York City Police Department","Closed"
"2026-05-03T16:05:44.000","Abandoned Vehicle","STATEN ISLAND","New York City Police Department","Closed"
"2026-05-03T16:05:14.000","Maintenance or Facility","BRONX","Department of Parks and Recreation","In Progress"
"2026-05-03T16:05:00.000","Derelict Vehicles","BRONX","Department of Sanitation","Closed"
"2026-05-03T16:05:00.000","Traffic Signal Condition","QUEENS","Department of Transportation","Closed"
